,id,address_v4,address_v6,asn_v4,asn_v6,prefix_v4,prefix_v6,is_anchor,is_public,status,status_since,first_connected,total_uptime,tags,country_code,latitude,longitude,day,probe,status_name,continent
210,54927,70.253.80.250,2600:1700:4e60:b980:1:cdff:fe3f:104d,7018.0,7018.0,70.252.0.0/14,2600:1700::/28,False,True,1,1704500273,1591232254.0,114895762,"{'system-ipv4-capable', 'native-ipv6', 'system-ipv6-capable', 'ftth', 'system-resolves-a-correctly', 'system-ipv4-stable-90d', 'att', 'ipv4', 'native-ipv4', 'system-ipv4-stable-30d', 'home', 'ipv6', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-v4', 'system-ipv6-stable-30d', 'ups', 'no-nat', 'system-ipv6-works', 'system-ipv4-works', 'fibre', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-90d', 'gpon', 'dual-stack'}",US,38.7905,-90.6315,20240209,https://atlas.ripe.net/api/v2/probes/54927/,Connected,NA
211,55381,102.35.110.173,,37002.0,,102.35.96.0/20,,False,True,1,1707129596,1592407202.0,94198993,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-stable-90d', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'system-v4', 'ipv4', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home'}",RE,-20.9325,55.3715,20240209,https://atlas.ripe.net/api/v2/probes/55381/,Connected,AF
212,54079,188.60.214.185,2a02:1210:4625:5600:1:c7ff:fe31:216e,3303.0,3303.0,188.60.0.0/16,2a02:1210::/29,False,True,1,1706633283,1577699095.0,128586715,"{'system-ipv4-capable', 'system-ipv6-capable', 'ftth', 'system-resolves-a-correctly', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'home', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-v4', 'system-ipv6-stable-30d', 'system-ipv6-works', 'nat', 'system-ipv4-works', 'system-firewall-problem-suspected', 'fibre', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-90d'}",CH,46.9515,7.4305,20240209,https://atlas.ripe.net/api/v2/probes/54079/,Connected,EU
213,1002179,2.134.22.170,,9198.0,,2.134.16.0/20,,False,True,1,1707491348,1616866368.0,79808364,"{'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-stable-90d', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'nat', 'cable', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home', 'system-software'}",KZ,43.2615,76.9605,20240209,https://atlas.ripe.net/api/v2/probes/1002179/,Connected,AS
214,14065,191.187.36.167,2804:14c:c683:8198:6666:b3ff:feb0:f312,28573.0,28573.0,191.187.36.0/22,2804:14c:c683::/48,False,True,1,1707154747,1390521310.0,214233356,"{'system-ipv4-capable', 'native-ipv6', 'system-ipv6-capable', 'system-resolves-a-correctly', 'system-ipv4-stable-90d', 'ipv4', 'native-ipv4', 'system-ipv4-stable-30d', 'home', 'system-v3', 'system-ipv4-rfc1918', 'ipv6', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv6-stable-30d', 'system-ipv6-works', 'cable', 'nat', 'system-ipv4-works', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-90d', 'dual-stack'}",BR,-18.8705,-41.9495,20240209,https://atlas.ripe.net/api/v2/probes/14065/,Connected,SA
215,12418,203.0.120.19,2403:580c:e522:0:fa1a:67ff:fe4d:93a7,4764.0,4764.0,203.0.120.0/24,2403:5800::/27,False,True,1,1706993945,1379378577.0,314294751,"{'system-ipv4-capable', 'native-ipv6', 'system-ipv6-capable', 'system-resolves-a-correctly', 'system-ipv4-stable-90d', 'ipv4', 'native-ipv4', 'system-ipv4-stable-30d', 'home', 'system-v3', 'ipv6', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-ipv6-works', 'system-ipv4-works', 'fibre', 'system-resolves-aaaa-correctly', 'system-ipv6-stable-90d', 'dual-stack'}",AU,-26.6585,153.0775,20240209,https://atlas.ripe.net/api/v2/probes/12418/,Connected,OC
216,13821,103.96.67.52,2401:7640:4002:3:a2f3:c1ff:fec4:397c,63771.0,63771.0,103.96.67.0/24,2401:7640:4000::/34,False,True,1,1706613063,1385633113.0,318354067,"{'fibre', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-stable-90d', 'ipv6', 'system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-v3', 'system-ipv6-stable-30d', 'ipv4', 'system-ipv6-stable-90d', 'system-ipv6-works', 'dual-stack', 'system-ipv4-works', 'system-ipv4-stable-30d', 'system-ipv6-capable', 'home'}",JP,35.5975,139.5885,20240209,https://atlas.ripe.net/api/v2/probes/13821/,Connected,AS
217,25497,111.94.132.132,,23700.0,,111.94.128.0/19,,False,True,1,1707194500,1471933097.0,201734271,"{'system-resolver-mangles-case', 'system-v3', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-ipv4-stable-1d', 'ipv4', 'cable', 'nat', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home'}",ID,-6.2695,106.5315,20240209,https://atlas.ripe.net/api/v2/probes/25497/,Connected,AS
218,53244,90.187.9.69,,3209.0,,90.187.0.0/16,,False,True,1,1705781433,1576940322.0,129397037,"{'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-90d', 'system-ipv4-stable-1d', 'docsis3', 'system-v4', 'native-ipv6', 'ipv4', 'ipv6', 'cable', 'native-ipv4', 'dual-stack', 'nat', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home'}",DE,53.4695,7.4795,20240209,https://atlas.ripe.net/api/v2/probes/53244/,Connected,EU
219,1002179,2.134.22.170,,9198.0,,2.134.16.0/20,,False,True,1,1707491348,1616866368.0,79808364,"{'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-capable', 'system-ipv4-stable-90d', 'system-ipv4-rfc1918', 'system-ipv4-stable-1d', 'nat', 'cable', 'system-ipv4-works', 'system-ipv4-stable-30d', 'home', 'system-software'}",KZ,43.2615,76.9605,20240209,https://atlas.ripe.net/api/v2/probes/1002179/,Connected,AS
